,open_price,open_time,open_size,close_price,close_time,close_size,pre_max_price,pre_min_price,pre_std_price,pre_median_price,pre_volume,intraday_max_price,intraday_min_price,intraday_std_price,intraday_median_price,intraday_volume,post_max_price,post_min_price,post_std_price,post_median_price,post_volume,symbol
0,481.28,09:30:00.894101,63456,454.47,16:00:00.158895,119402,502.98,472.05,7.818618513126827,485.01,198917,494.26,446.25,12.644619260384902,470.0,4983108,547.99,449.39,19.240151279163882,517.38,1246457,TSLA
1,1901.0,09:30:01.149265,52538,1918.83,16:00:00.481788,191728,1934.94,1895.07,8.941676236832386,1913.12,57970,1927.96,1766.88,8.133542723085766,1912.0384,2006799,1922.5,1910.25,2.0233616363116016,1918.83,30974,AMZN
2,94.2,09:30:01.084676,259750,96.97,16:02:01.007610,695059,97.4,93.61,1.098043970601756,95.3,46716,97.27,94.11,0.6082007812897711,95.83,2458336,97.25,96.04,0.14703110109677558,96.97,29512,DIS
3,151.78,09:30:00.966195,631083,155.26,16:00:00.266776,3556185,155.5,150.52,1.300581616797379,152.94,138040,155.48,135.36,1.1251836409630969,153.23,7209207,155.75,152.3293,0.24828492702919427,155.3,47396,MSFT
4,364.01,09:30:00.709584,38310,370.08,16:00:00.571411,211234,370.0,362.0,1.937899510423873,365.93,28067,371.0,360.02,2.308692766384175,365.94,1210315,370.87,366.154,0.6854734010811776,369.7125,13940,NFLX
5,125.3,09:30:00.195563,328874,121.93,16:00:00.323506,60671,134.52,125.05,1.9630323789655526,129.25,109480,133.49,114.5,4.1379548026584345,122.67,4675187,124.5,121.0,1.035365021613484,122.34,30260,ZM
6,128.51,09:30:00.864777,261635,123.27,16:02:00.878118,459498,137.98,126.75,3.2094393387226616,131.45,229687,136.77,120.0204,3.964754425189992,126.0,6452401,435.6174,121.29,3.769628705540472,124.5,162452,BA
7,30.6,09:30:00.956031,135634,33.2,16:00:00.192855,186102,31.74,30.02,0.3867605861687936,30.92,25398,33.39,29.84,0.8837656085509495,32.21,1872669,33.3,32.4,0.21973263994276404,33.0,19635,MRNA
8,1098.8,09:30:01.125091,37906,1117.03,16:00:00.494490,225839,1125.0,1090.96,7.978136704583243,1102.335,30880,1123.04,1044.96,6.243538434836892,1105.88,1156736,1124.3407,1107.5383,1.5308839210757885,1117.03,8416,GOOGL
9,244.21,09:30:01.134462,134359,255.47,16:00:00.208290,495311,250.8,240.53,2.731695522290636,245.79,70295,256.0,242.26,2.973116719156261,250.3,2898772,256.99,253.51,0.569566348943657,255.52,24208,NVDA
10,63.86,09:30:00.840877,40811,57.95,16:00:00.719555,46372,66.66,63.5,0.927419582939185,65.47,6800,63.99,57.0,1.7936332878833166,59.75,841344,58.99,57.95,0.24625347233379463,58.4,9264,BYND
11,186.08,09:30:00.727408,212531,188.9,16:02:00.621426,453209,192.7,185.0,2.360024370149124,188.2,56253,191.31,185.6922,1.133802710691067,188.4,2004640,189.56,185.636,0.2353397911268968,189.04,11713,BABA
12,158.68,09:30:01.192739,154840,158.19,16:00:00.253508,1479046,162.69,158.0,1.2504713448621303,160.01,38811,161.3509,155.92,1.3846480426184693,158.05,3036404,158.75,157.26,0.22937428103663304,158.35,24157,FB
