,open_price,open_time,open_size,close_price,close_time,close_size,pre_max_price,pre_min_price,pre_std_price,pre_median_price,pre_volume,intraday_max_price,intraday_min_price,intraday_std_price,intraday_median_price,intraday_volume,post_max_price,post_min_price,post_std_price,post_median_price,post_volume,symbol
0,504.0,09:30:00.999287,95460,481.56,16:00:00.811478,123597,524.0,497.0,3.0512155533697634,503.01,183481,513.9548,475.1,10.880464617903963,494.5549,4324800,494.7017,475.88,2.7298260863985138,478.0,97206,TSLA
1,1935.02,09:30:00.977312,86556,1907.7,16:00:00.802902,251921,1949.72,1914.0,4.143834870897978,1921.6,69615,1949.72,1768.99,11.634429089678175,1915.67,2301868,1963.7242,1902.75,2.2377114980092596,1907.7,32844,AMZN
2,93.8,09:30:01.205611,412026,94.92,16:02:01.029626,1026078,96.6,93.09,0.309826070172713,93.8,80206,98.38,84.185,0.7604734684890695,95.00815,3442976,96.5,94.6,0.21826771641964857,94.88,33201,DIS
3,153.0,09:30:00.142728,760893,152.11,16:00:00.470008,4921521,159.4202,152.01,0.42873260431376653,153.29,152677,157.756,136.545,1.7184509831244823,153.87,8824071,153.8026,151.8,0.45827666272001505,152.5,64515,MSFT
4,375.5,09:30:01.349051,102997,364.08,16:00:00.191891,326777,376.5,365.3,2.209232865051064,372.31,32215,380.233,361.02,4.226576769646808,366.83185,1751510,367.7185,362.09,0.8924491596682605,364.08,15334,NFLX
5,144.5,09:30:00.390628,92693,137.0,16:00:00.430252,68400,149.4998,143.0,1.5098858966252462,145.97,38488,144.66,135.18,1.8567392459112737,137.5411,2288166,137.2,130.8,1.856392384719277,134.05,67320,ZM
6,138.65,09:30:01.029055,401752,130.7,16:02:00.881335,515334,145.48,138.0,1.2811222308310968,140.2,228344,155.0,130.0,4.36901677047398,134.25295,6691234,135.532,128.76,1.143780390469477,130.74255,128214,BA
7,30.05,09:30:00.723505,145017,29.67,16:00:00.180888,215031,30.47,29.5,0.19260825599871495,29.89,6320,30.94,29.06,0.2706898254783672,29.87,840144,29.67,29.4,0.07536194530033488,29.59,6368,MRNA
8,1124.0,09:30:00.298401,45028,1102.1,16:00:00.854639,205731,1161.95,1120.0,3.5592340423495448,1126.475,25856,1130.0,1037.89,9.900995940083297,1109.1532499999998,1433344,1110.3978,1096.5,2.47088178179186,1102.1,12624,GOOGL
9,255.65,09:30:00.517407,153321,243.07,16:00:00.810293,718861,265.7375,254.0,0.6075583020545328,255.4,43216,263.6,241.28,5.3493162407486246,251.725,2903712,251.3952,242.5,0.7617475668416452,243.513,27792,NVDA
10,64.2,09:30:00.734549,28486,64.18,16:00:00.827792,22755,65.5,63.66,0.2796255921465775,64.28,6352,65.7306,62.97,0.4820711373133416,64.29,348544,65.0,63.75,0.356541737512354,64.2,2544,BYND
11,189.5,09:30:00.860062,160815,187.56,16:02:00.644448,520026,194.48,188.61,0.42738187047777404,189.26,46495,194.48,185.04,1.9982077220351513,188.4,2747489,190.44,177.1102,0.5471469830844484,187.56,10965,BABA
12,161.6,09:30:00.675885,251616,159.6,16:00:00.330683,1564861,166.8,161.0,0.4134243310148252,161.82,42528,166.8,147.28,1.3776040328877937,160.62,3059696,160.98,159.35,0.34226016218029287,159.9,19728,FB
