,symbol,splits
14,TNXP,"[{'ticker': 'TNXP', 'exDate': '2019-11-01', 'paymentDate': '2019-11-01', 'declaredDate': '2019-11-01', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}, {'ticker': 'TNXP', 'exDate': '2018-11-28', 'paymentDate': '2018-11-28', 'declaredDate': '2018-11-28', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}, {'ticker': 'TNXP', 'exDate': '2017-03-17', 'paymentDate': '2017-03-17', 'declaredDate': '2017-03-17', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}, {'ticker': 'TNXP', 'exDate': '2013-05-03', 'paymentDate': '2013-05-03', 'ratio': 20}]"
15,TELL,[]
16,IVR,[]
17,VBIV,"[{'ticker': 'VBIV', 'exDate': '2006-03-30', 'paymentDate': '2006-03-30', 'ratio': 0.5}]"
18,NOVN,[]
19,OGI,[]
20,RIG,"[{'ticker': 'RIG', 'exDate': '2007-11-26', 'paymentDate': '2007-11-26', 'ratio': 1.42938822184105}]"
21,MFA,[]
22,NAK,[]
23,ACST,"[{'ticker': 'ACST', 'exDate': '2015-10-15', 'paymentDate': '2015-10-15', 'declaredDate': '2015-10-15', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}, {'ticker': 'ACST', 'exDate': '2015-10-14', 'paymentDate': '2015-10-14', 'declaredDate': '2015-10-14', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}]"
24,KOS,[]
25,BOXL,[]
26,TTOO,[]
27,OPTT,"[{'ticker': 'OPTT', 'exDate': '2019-03-12', 'paymentDate': '2019-03-12', 'declaredDate': '2019-03-12', 'ratio': 20, 'tofactor': 20, 'forfactor': 1}, {'ticker': 'OPTT', 'exDate': '2015-10-29', 'paymentDate': '2015-10-29', 'declaredDate': '2015-10-29', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}, {'ticker': 'OPTT', 'exDate': '2007-04-26', 'paymentDate': '2007-04-26', 'ratio': 10}]"
28,CIDM,"[{'ticker': 'CIDM', 'exDate': '2016-05-10', 'paymentDate': '2016-05-10', 'declaredDate': '2016-05-10', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}]"
29,DGLY,"[{'ticker': 'DGLY', 'exDate': '2012-08-24', 'paymentDate': '2012-08-24', 'ratio': 8}]"
30,AVGR,"[{'ticker': 'AVGR', 'exDate': '2019-06-24', 'paymentDate': '2019-06-24', 'declaredDate': '2019-06-24', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}, {'ticker': 'AVGR', 'exDate': '2018-01-31', 'paymentDate': '2018-01-31', 'declaredDate': '2018-01-31', 'ratio': 40, 'tofactor': 40, 'forfactor': 1}]"
31,ONTX,"[{'ticker': 'ONTX', 'exDate': '2018-09-26', 'paymentDate': '2018-09-26', 'declaredDate': '2018-09-26', 'ratio': 15, 'tofactor': 15, 'forfactor': 1}, {'ticker': 'ONTX', 'exDate': '2016-06-01', 'paymentDate': '2016-06-01', 'declaredDate': '2016-06-01', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}]"
32,NGD,[]
33,CTRM,[]
