,symbol,splits
135,BBD,"[{'ticker': 'BBD', 'exDate': '2020-04-14', 'paymentDate': '2020-04-21', 'ratio': 0.9090909090909091, 'tofactor': 100, 'forfactor': 110}, {'ticker': 'BBD', 'exDate': '2019-04-01', 'paymentDate': '2019-04-05', 'declaredDate': '2019-03-20', 'ratio': 0.8333333333333334, 'tofactor': 5, 'forfactor': 6}, {'ticker': 'BBD', 'exDate': '2018-04-02', 'paymentDate': '2018-04-06', 'declaredDate': '2018-03-16', 'ratio': 0.9090909090909091, 'tofactor': 100, 'forfactor': 110}, {'ticker': 'BBD', 'exDate': '2017-05-02', 'paymentDate': '2017-05-09', 'declaredDate': '2017-04-18', 'ratio': 0.9090909090909091, 'tofactor': 100, 'forfactor': 110}, {'ticker': 'BBD', 'exDate': '2016-04-18', 'paymentDate': '2016-04-26', 'declaredDate': '2016-04-06', 'ratio': 0.9090909090909091, 'tofactor': 100, 'forfactor': 110}, {'ticker': 'BBD', 'exDate': '2015-03-27', 'paymentDate': '2015-04-03', 'declaredDate': '2015-03-18', 'ratio': 0.8333333333333334, 'tofactor': 5, 'forfactor': 6}, {'ticker': 'BBD', 'exDate': '2013-03-26', 'paymentDate': '2013-03-26', 'ratio': 0.9090909090909091}, {'ticker': 'BBD', 'exDate': '2010-07-14', 'paymentDate': '2010-07-14', 'ratio': 0.9090909090909091}, {'ticker': 'BBD', 'exDate': '2008-04-16', 'paymentDate': '2008-04-16', 'ratio': 0.6666666666666666}, {'ticker': 'BBD', 'exDate': '2007-04-03', 'paymentDate': '2007-04-03', 'ratio': 0.5}, {'ticker': 'BBD', 'exDate': '2005-12-02', 'paymentDate': '2005-12-02', 'ratio': 0.5}, {'ticker': 'BBD', 'exDate': '2004-12-22', 'paymentDate': '2004-12-22', 'ratio': 0.3333333333333333}, {'ticker': 'BBD', 'exDate': '2004-03-22', 'paymentDate': '2004-03-22', 'ratio': 2}]"
136,IAG,[]
137,OBLN,"[{'ticker': 'OBLN', 'exDate': '2019-07-25', 'paymentDate': '2019-07-25', 'declaredDate': '2019-07-25', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}]"
138,PTN,"[{'ticker': 'PTN', 'exDate': '2010-09-27', 'paymentDate': '2010-09-27', 'ratio': 10}]"
139,YJ,[]
140,GSM,[]
141,SOS,[]
142,WISA,"[{'ticker': 'WISA', 'exDate': '2020-04-09', 'paymentDate': '2020-04-09', 'declaredDate': '2020-04-09', 'ratio': 20, 'tofactor': 20, 'forfactor': 1}]"
143,TRVG,[]
144,LKCO,[]
145,OBSV,[]
146,EYES,"[{'ticker': 'EYES', 'exDate': '2020-01-06', 'paymentDate': '2020-01-06', 'declaredDate': '2020-01-06', 'ratio': 8, 'tofactor': 8, 'forfactor': 1}]"
147,IGC,"[{'ticker': 'IGC', 'exDate': '2013-04-19', 'paymentDate': '2013-04-19', 'ratio': 10}]"
148,REI,"[{'ticker': 'REI', 'exDate': '2008-06-02', 'paymentDate': '2008-06-02', 'ratio': 17.998560115190784}]"
149,XBIO,"[{'ticker': 'XBIO', 'exDate': '2019-06-25', 'paymentDate': '2019-06-25', 'declaredDate': '2019-06-25', 'ratio': 12, 'tofactor': 12, 'forfactor': 1}, {'ticker': 'XBIO', 'exDate': '2016-06-01', 'paymentDate': '2016-06-01', 'declaredDate': '2016-06-01', 'ratio': 33, 'tofactor': 33, 'forfactor': 1}]"
150,AZRX,[]
151,MTC,[]
152,ATIF,[]
153,ALRN,[]
154,ARPO,[]
155,SNCA,[]
156,BXRX,[]
157,ITP,"[{'ticker': 'ITP', 'exDate': '2009-11-05', 'paymentDate': '2009-11-05', 'ratio': 4}]"
158,LYG,[]
159,ASRT,[]
160,ABEO,"[{'ticker': 'ABEO', 'exDate': '2006-06-05', 'paymentDate': '2006-06-05', 'ratio': 5}, {'ticker': 'ABEO', 'exDate': '1998-06-18', 'paymentDate': '1998-06-18', 'ratio': 20}, {'ticker': 'ABEO', 'exDate': '1998-06-05', 'paymentDate': '1998-06-05', 'ratio': 20}]"
161,TMBR,[]
162,SPCB,"[{'ticker': 'SPCB', 'exDate': '2013-08-23', 'paymentDate': '2013-08-23', 'ratio': 4.250074376301585}, {'ticker': 'SPCB', 'exDate': '2007-05-14', 'paymentDate': '2007-05-14', 'ratio': 5.88200694076819}]"
163,MBIO,[]
164,CHS,"[{'ticker': 'CHS', 'exDate': '2005-02-23', 'paymentDate': '2005-02-23', 'ratio': 0.5}, {'ticker': 'CHS', 'exDate': '2002-07-30', 'paymentDate': '2002-07-30', 'ratio': 0.5}, {'ticker': 'CHS', 'exDate': '2002-01-22', 'paymentDate': '2002-01-22', 'ratio': 0.6666666666666666}, {'ticker': 'CHS', 'exDate': '2001-05-17', 'paymentDate': '2001-05-17', 'ratio': 0.6666666666666666}, {'ticker': 'CHS', 'exDate': '2000-01-18', 'paymentDate': '2000-01-18', 'ratio': 0.5}]"
165,BTU,[]
166,VEON,"[{'ticker': 'VEON', 'exDate': '2007-08-22', 'paymentDate': '2007-08-22', 'ratio': 0.2}, {'ticker': 'VEON', 'exDate': '2004-11-23', 'paymentDate': '2004-11-23', 'ratio': 0.3333333333333333}]"
167,TENX,"[{'ticker': 'TENX', 'exDate': '2018-02-26', 'paymentDate': '2018-02-26', 'declaredDate': '2018-02-26', 'ratio': 20, 'tofactor': 20, 'forfactor': 1}, {'ticker': 'TENX', 'exDate': '2013-05-13', 'paymentDate': '2013-05-13', 'ratio': 20}, {'ticker': 'TENX', 'exDate': '2009-11-09', 'paymentDate': '2009-11-09', 'ratio': 14.999250037498127}]"
168,CNET,"[{'ticker': 'CNET', 'exDate': '2016-08-19', 'paymentDate': '2016-08-19', 'declaredDate': '2016-08-19', 'ratio': 2.5, 'tofactor': 5, 'forfactor': 2}]"
169,UEC,[]
170,GNW,[]
171,DNN,"[{'ticker': 'DNN', 'exDate': '2006-12-06', 'paymentDate': '2006-12-06', 'ratio': 0.347222222222222}]"
172,AIHS,[]
173,IPDN,"[{'ticker': 'IPDN', 'exDate': '2016-09-27', 'paymentDate': '2016-09-27', 'declaredDate': '2016-09-27', 'ratio': 8, 'tofactor': 8, 'forfactor': 1}]"
174,HOTH,[]
175,QTT,[]
176,URG,[]
177,SNGX,"[{'ticker': 'SNGX', 'exDate': '2016-10-07', 'paymentDate': '2016-10-07', 'declaredDate': '2016-10-07', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}, {'ticker': 'SNGX', 'exDate': '2012-02-01', 'paymentDate': '2012-02-01', 'ratio': 20}]"
178,ADTX,[]
179,CATB,"[{'ticker': 'CATB', 'exDate': '2018-12-31', 'paymentDate': '2018-12-31', 'declaredDate': '2018-12-31', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}]"
180,VTNR,"[{'ticker': 'VTNR', 'exDate': '2009-05-04', 'paymentDate': '2009-05-04', 'ratio': 10}, {'ticker': 'VTNR', 'exDate': '2004-08-30', 'paymentDate': '2004-08-30', 'ratio': 59.98800239952009}]"
181,CLBS,"[{'ticker': 'CLBS', 'exDate': '2013-07-16', 'paymentDate': '2013-07-16', 'ratio': 10}, {'ticker': 'CLBS', 'exDate': '2007-08-09', 'paymentDate': '2007-08-09', 'ratio': 10}, {'ticker': 'CLBS', 'exDate': '2006-08-31', 'paymentDate': '2006-08-31', 'ratio': 10}]"
182,VTGN,[]
183,CPG,[]
184,BGCP,[]
185,USWS,[]
186,CIG,"[{'ticker': 'CIG', 'exDate': '2020-08-13', 'paymentDate': '2020-08-19', 'declaredDate': '2020-08-04', 'ratio': 0.9604948469451462, 'tofactor': 100, 'forfactor': 104.113}, {'ticker': 'CIG', 'exDate': '2014-01-13', 'paymentDate': '2014-01-10', 'ratio': 0.7647058823529411, 'tofactor': 13, 'forfactor': 17}, {'ticker': 'CIG', 'exDate': '2013-05-02', 'paymentDate': '2013-05-02', 'ratio': 0.8865248226950355}, {'ticker': 'CIG', 'exDate': '2012-05-14', 'paymentDate': '2012-05-14', 'ratio': 0.8}, {'ticker': 'CIG', 'exDate': '2009-05-14', 'paymentDate': '2009-05-14', 'ratio': 0.8}, {'ticker': 'CIG', 'exDate': '2007-06-12', 'paymentDate': '2007-06-12', 'ratio': 0.5}, {'ticker': 'CIG', 'exDate': '2007-05-08', 'paymentDate': '2007-05-08', 'ratio': 0.6666666666666666}, {'ticker': 'CIG', 'exDate': '1998-05-05', 'paymentDate': '1998-05-05', 'ratio': 0.8171937566396993}]"
187,UAMY,[]
188,MKD,[]
189,GTE,[]
190,VYNE,"[{'ticker': 'VYNE', 'exDate': '2021-02-16', 'paymentDate': '2021-02-16', 'declaredDate': '2021-02-16', 'ratio': 4, 'tofactor': 4, 'forfactor': 1}]"
191,ASM,[]
192,TMDI,[]
193,GGB,"[{'ticker': 'GGB', 'exDate': '2008-06-20', 'paymentDate': '2008-06-20', 'ratio': 0.5}, {'ticker': 'GGB', 'exDate': '2006-04-21', 'paymentDate': '2006-04-21', 'ratio': 0.6666666666666666}, {'ticker': 'GGB', 'exDate': '2005-04-19', 'paymentDate': '2005-04-19', 'ratio': 0.6666666666666666}, {'ticker': 'GGB', 'exDate': '2004-05-07', 'paymentDate': '2004-05-07', 'ratio': 0.5}, {'ticker': 'GGB', 'exDate': '2003-05-13', 'paymentDate': '2003-05-13', 'ratio': 0.7692307692307692}, {'ticker': 'GGB', 'exDate': '2000-05-09', 'paymentDate': '2000-05-09', 'ratio': 0.5}]"
194,BRFS,"[{'ticker': 'BRFS', 'exDate': '2010-04-08', 'paymentDate': '2010-04-08', 'ratio': 0.25}, {'ticker': 'BRFS', 'exDate': '2006-04-20', 'paymentDate': '2006-04-20', 'ratio': 0.3333333333333333}]"
195,LODE,"[{'ticker': 'LODE', 'exDate': '2019-11-29', 'paymentDate': '2019-11-29', 'declaredDate': '2019-11-29', 'ratio': 5, 'tofactor': 5, 'forfactor': 1}, {'ticker': 'LODE', 'exDate': '2017-11-10', 'paymentDate': '2017-11-10', 'declaredDate': '2017-11-10', 'ratio': 5, 'tofactor': 5, 'forfactor': 1}]"
196,BBIG,[]
197,ACB,"[{'ticker': 'ACB', 'exDate': '2020-05-11', 'paymentDate': '2020-05-11', 'declaredDate': '2020-05-11', 'ratio': 12, 'tofactor': 12, 'forfactor': 1}]"
198,F,"[{'ticker': 'F', 'exDate': '2000-08-03', 'paymentDate': '2000-08-03', 'ratio': 0.6365372374283896}, {'ticker': 'F', 'exDate': '2000-06-28', 'paymentDate': '2000-06-28', 'ratio': 0.9607}, {'ticker': 'F', 'exDate': '1998-04-07', 'paymentDate': '1998-04-07', 'ratio': 0.6641}]"
199,AAL,[]
200,GE,"[{'ticker': 'GE', 'exDate': '2000-05-08', 'paymentDate': '2000-05-08', 'ratio': 0.3333333333333333}]"
201,AMC,[]
202,INO,"[{'ticker': 'INO', 'exDate': '2014-06-05', 'paymentDate': '2014-06-05', 'declaredDate': '2014-06-05', 'ratio': 4, 'tofactor': 4, 'forfactor': 1}, {'ticker': 'INO', 'exDate': '2004-09-13', 'paymentDate': '2004-09-13', 'ratio': 4}]"
203,HEXO,"[{'ticker': 'HEXO', 'exDate': '2020-12-23', 'paymentDate': '2020-12-23', 'declaredDate': '2020-12-23', 'ratio': 4, 'tofactor': 4, 'forfactor': 1}]"
204,BNGO,[]
205,SNDL,[]
206,GNUS,"[{'ticker': 'GNUS', 'exDate': '2016-11-09', 'paymentDate': '2016-11-09', 'declaredDate': '2016-11-09', 'ratio': 3, 'tofactor': 3, 'forfactor': 1}]"
207,NOK,"[{'ticker': 'NOK', 'exDate': '2000-04-11', 'paymentDate': '2000-04-11', 'ratio': 0.25}, {'ticker': 'NOK', 'exDate': '1999-04-12', 'paymentDate': '1999-04-12', 'ratio': 0.5}, {'ticker': 'NOK', 'exDate': '1998-04-16', 'paymentDate': '1998-04-16', 'ratio': 0.5}]"
208,TOPS,"[{'ticker': 'TOPS', 'exDate': '2020-08-10', 'paymentDate': '2020-08-10', 'declaredDate': '2020-08-10', 'ratio': 25, 'tofactor': 25, 'forfactor': 1}, {'ticker': 'TOPS', 'exDate': '2019-08-22', 'paymentDate': '2019-08-22', 'declaredDate': '2019-08-22', 'ratio': 20, 'tofactor': 20, 'forfactor': 1}, {'ticker': 'TOPS', 'exDate': '2018-03-26', 'paymentDate': '2018-03-26', 'declaredDate': '2018-03-26', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}, {'ticker': 'TOPS', 'exDate': '2017-10-06', 'paymentDate': '2017-10-06', 'declaredDate': '2017-10-06', 'ratio': 2, 'tofactor': 2, 'forfactor': 1}, {'ticker': 'TOPS', 'exDate': '2017-08-03', 'paymentDate': '2017-08-03', 'declaredDate': '2017-08-03', 'ratio': 30, 'tofactor': 30, 'forfactor': 1}, {'ticker': 'TOPS', 'exDate': '2017-06-23', 'paymentDate': '2017-06-23', 'declaredDate': '2017-06-23', 'ratio': 15, 'tofactor': 15, 'forfactor': 1}, {'ticker': 'TOPS', 'exDate': '2017-05-11', 'paymentDate': '2017-05-11', 'declaredDate': '2017-05-11', 'ratio': 20, 'tofactor': 20, 'forfactor': 1}, {'ticker': 'TOPS', 'exDate': '2016-02-22', 'paymentDate': '2016-02-22', 'declaredDate': '2016-02-22', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}, {'ticker': 'TOPS', 'exDate': '2014-04-21', 'paymentDate': '2014-04-21', 'declaredDate': '2014-04-21', 'ratio': 7, 'tofactor': 7, 'forfactor': 1}, {'ticker': 'TOPS', 'exDate': '2011-06-24', 'paymentDate': '2011-06-24', 'ratio': 10}, {'ticker': 'TOPS', 'exDate': '2008-03-20', 'paymentDate': '2008-03-20', 'ratio': 3.000030000300003}]"
209,IBIO,"[{'ticker': 'IBIO', 'exDate': '2018-06-11', 'paymentDate': '2018-06-11', 'declaredDate': '2018-06-11', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}]"
210,ZOM,[]
211,JAGX,"[{'ticker': 'JAGX', 'exDate': '2019-06-07', 'paymentDate': '2019-06-07', 'declaredDate': '2019-06-07', 'ratio': 70, 'tofactor': 70, 'forfactor': 1}, {'ticker': 'JAGX', 'exDate': '2018-06-01', 'paymentDate': '2018-06-01', 'declaredDate': '2018-06-01', 'ratio': 5, 'tofactor': 5, 'forfactor': 1}]"
212,NAKD,"[{'ticker': 'NAKD', 'exDate': '2019-12-20', 'paymentDate': '2019-12-20', 'declaredDate': '2019-12-20', 'ratio': 100, 'tofactor': 100, 'forfactor': 1}, {'ticker': 'NAKD', 'exDate': '2015-08-10', 'paymentDate': '2015-08-10', 'declaredDate': '2015-08-10', 'ratio': 40, 'tofactor': 40, 'forfactor': 1}]"
213,XSPA,"[{'ticker': 'XSPA', 'exDate': '2020-06-11', 'paymentDate': '2020-06-11', 'declaredDate': '2020-06-11', 'ratio': 3, 'tofactor': 3, 'forfactor': 1}, {'ticker': 'XSPA', 'exDate': '2019-02-25', 'paymentDate': '2019-02-25', 'declaredDate': '2019-02-25', 'ratio': 20, 'tofactor': 20, 'forfactor': 1}]"
214,TNXP,"[{'ticker': 'TNXP', 'exDate': '2019-11-01', 'paymentDate': '2019-11-01', 'declaredDate': '2019-11-01', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}, {'ticker': 'TNXP', 'exDate': '2018-11-28', 'paymentDate': '2018-11-28', 'declaredDate': '2018-11-28', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}, {'ticker': 'TNXP', 'exDate': '2017-03-17', 'paymentDate': '2017-03-17', 'declaredDate': '2017-03-17', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}, {'ticker': 'TNXP', 'exDate': '2013-05-03', 'paymentDate': '2013-05-03', 'ratio': 20}]"
215,TELL,[]
216,IVR,[]
217,VBIV,"[{'ticker': 'VBIV', 'exDate': '2006-03-30', 'paymentDate': '2006-03-30', 'ratio': 0.5}]"
218,NOVN,[]
219,OGI,[]
220,RIG,"[{'ticker': 'RIG', 'exDate': '2007-11-26', 'paymentDate': '2007-11-26', 'ratio': 1.42938822184105}]"
221,MFA,[]
222,NAK,[]
223,ACST,"[{'ticker': 'ACST', 'exDate': '2015-10-15', 'paymentDate': '2015-10-15', 'declaredDate': '2015-10-15', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}, {'ticker': 'ACST', 'exDate': '2015-10-14', 'paymentDate': '2015-10-14', 'declaredDate': '2015-10-14', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}]"
224,KOS,[]
225,BOXL,[]
226,TTOO,[]
227,OPTT,"[{'ticker': 'OPTT', 'exDate': '2019-03-12', 'paymentDate': '2019-03-12', 'declaredDate': '2019-03-12', 'ratio': 20, 'tofactor': 20, 'forfactor': 1}, {'ticker': 'OPTT', 'exDate': '2015-10-29', 'paymentDate': '2015-10-29', 'declaredDate': '2015-10-29', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}, {'ticker': 'OPTT', 'exDate': '2007-04-26', 'paymentDate': '2007-04-26', 'ratio': 10}]"
228,CIDM,"[{'ticker': 'CIDM', 'exDate': '2016-05-10', 'paymentDate': '2016-05-10', 'declaredDate': '2016-05-10', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}]"
229,DGLY,"[{'ticker': 'DGLY', 'exDate': '2012-08-24', 'paymentDate': '2012-08-24', 'ratio': 8}]"
230,AVGR,"[{'ticker': 'AVGR', 'exDate': '2019-06-24', 'paymentDate': '2019-06-24', 'declaredDate': '2019-06-24', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}, {'ticker': 'AVGR', 'exDate': '2018-01-31', 'paymentDate': '2018-01-31', 'declaredDate': '2018-01-31', 'ratio': 40, 'tofactor': 40, 'forfactor': 1}]"
231,ONTX,"[{'ticker': 'ONTX', 'exDate': '2018-09-26', 'paymentDate': '2018-09-26', 'declaredDate': '2018-09-26', 'ratio': 15, 'tofactor': 15, 'forfactor': 1}, {'ticker': 'ONTX', 'exDate': '2016-06-01', 'paymentDate': '2016-06-01', 'declaredDate': '2016-06-01', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}]"
232,NGD,[]
233,CTRM,[]
234,DPW,"[{'ticker': 'DPW', 'exDate': '2019-08-06', 'paymentDate': '2019-08-06', 'declaredDate': '2019-08-06', 'ratio': 40, 'tofactor': 40, 'forfactor': 1}, {'ticker': 'DPW', 'exDate': '2019-03-15', 'paymentDate': '2019-03-15', 'declaredDate': '2019-03-15', 'ratio': 20, 'tofactor': 20, 'forfactor': 1}]"
235,TRVN,[]
236,ABEV,"[{'ticker': 'ABEV', 'exDate': '2013-11-11', 'paymentDate': '2013-11-11', 'ratio': 0.2}, {'ticker': 'ABEV', 'exDate': '2010-12-28', 'paymentDate': '2010-12-28', 'ratio': 0.2}, {'ticker': 'ABEV', 'exDate': '2005-06-09', 'paymentDate': '2005-06-09', 'ratio': 0.8333333333333334}]"
237,INPX,"[{'ticker': 'INPX', 'exDate': '2020-01-07', 'paymentDate': '2020-01-07', 'declaredDate': '2020-01-07', 'ratio': 45, 'tofactor': 45, 'forfactor': 1}, {'ticker': 'INPX', 'exDate': '2018-11-02', 'paymentDate': '2018-11-02', 'declaredDate': '2018-11-02', 'ratio': 40, 'tofactor': 40, 'forfactor': 1}, {'ticker': 'INPX', 'exDate': '2018-02-06', 'paymentDate': '2018-02-06', 'declaredDate': '2018-02-06', 'ratio': 30, 'tofactor': 30, 'forfactor': 1}]"
238,NYMT,"[{'ticker': 'NYMT', 'exDate': '2008-05-29', 'paymentDate': '2008-05-29', 'ratio': 2}, {'ticker': 'NYMT', 'exDate': '2007-10-09', 'paymentDate': '2007-10-09', 'ratio': 5}]"
239,CRBP,[]
240,SENS,[]
241,WTI,[]
242,MARK,"[{'ticker': 'MARK', 'exDate': '2010-02-17', 'paymentDate': '2010-02-17', 'ratio': 10}]"
243,TTNP,"[{'ticker': 'TTNP', 'exDate': '2020-12-01', 'paymentDate': '2020-12-01', 'declaredDate': '2020-12-01', 'ratio': 30, 'tofactor': 30, 'forfactor': 1}, {'ticker': 'TTNP', 'exDate': '2019-01-25', 'paymentDate': '2019-01-25', 'declaredDate': '2019-01-25', 'ratio': 6, 'tofactor': 6, 'forfactor': 1}, {'ticker': 'TTNP', 'exDate': '2015-09-29', 'paymentDate': '2015-09-29', 'declaredDate': '2015-09-29', 'ratio': 5.5, 'tofactor': 11, 'forfactor': 2}]"
244,GSAT,[]
245,TRXC,"[{'ticker': 'TRXC', 'exDate': '2019-12-12', 'paymentDate': '2019-12-12', 'declaredDate': '2019-12-12', 'ratio': 13, 'tofactor': 13, 'forfactor': 1}, {'ticker': 'TRXC', 'exDate': '1999-01-05', 'paymentDate': '1999-01-05', 'ratio': 10}]"
246,CEI,"[{'ticker': 'CEI', 'exDate': '2019-10-29', 'paymentDate': '2019-10-29', 'declaredDate': '2019-10-29', 'ratio': 50, 'tofactor': 50, 'forfactor': 1}, {'ticker': 'CEI', 'exDate': '2019-07-08', 'paymentDate': '2019-07-08', 'declaredDate': '2019-07-08', 'ratio': 25, 'tofactor': 25, 'forfactor': 1}, {'ticker': 'CEI', 'exDate': '2018-12-24', 'paymentDate': '2018-12-24', 'declaredDate': '2018-12-24', 'ratio': 25, 'tofactor': 25, 'forfactor': 1}, {'ticker': 'CEI', 'exDate': '2018-03-05', 'paymentDate': '2018-03-05', 'declaredDate': '2018-03-05', 'ratio': 25, 'tofactor': 25, 'forfactor': 1}, {'ticker': 'CEI', 'exDate': '2008-02-04', 'paymentDate': '2008-02-04', 'ratio': 4}]"
247,BIOL,"[{'ticker': 'BIOL', 'exDate': '2018-05-11', 'paymentDate': '2018-05-11', 'declaredDate': '2018-05-11', 'ratio': 5, 'tofactor': 5, 'forfactor': 1}, {'ticker': 'BIOL', 'exDate': '2014-03-12', 'paymentDate': '2014-03-28', 'ratio': 0.9950248756218906, 'tofactor': 100, 'forfactor': 100.5}, {'ticker': 'BIOL', 'exDate': '2013-12-12', 'paymentDate': '2013-12-12', 'ratio': 0.9950248756218907}, {'ticker': 'BIOL', 'exDate': '2013-08-23', 'paymentDate': '2013-08-23', 'ratio': 0.9950248756218907}, {'ticker': 'BIOL', 'exDate': '2013-06-12', 'paymentDate': '2013-06-12', 'ratio': 0.9950248756218907}, {'ticker': 'BIOL', 'exDate': '2013-03-13', 'paymentDate': '2013-03-13', 'ratio': 0.9950248756218907}, {'ticker': 'BIOL', 'exDate': '2012-12-12', 'paymentDate': '2012-12-12', 'ratio': 0.9950248756218907}, {'ticker': 'BIOL', 'exDate': '2012-09-12', 'paymentDate': '2012-09-12', 'ratio': 0.9950248756218907}, {'ticker': 'BIOL', 'exDate': '2012-06-06', 'paymentDate': '2012-06-06', 'ratio': 0.9950248756218907}, {'ticker': 'BIOL', 'exDate': '2012-03-13', 'paymentDate': '2012-03-13', 'ratio': 0.9950248756218907}, {'ticker': 'BIOL', 'exDate': '2011-11-22', 'paymentDate': '2011-11-22', 'ratio': 0.9900990099009901}, {'ticker': 'BIOL', 'exDate': '2011-08-25', 'paymentDate': '2011-08-25', 'ratio': 0.9900990099009901}, {'ticker': 'BIOL', 'exDate': '2011-06-08', 'paymentDate': '2011-06-08', 'ratio': 0.9900990099009901}, {'ticker': 'BIOL', 'exDate': '2011-03-10', 'paymentDate': '2011-03-10', 'ratio': 0.99009900990099}]"
248,ADMP,"[{'ticker': 'ADMP', 'exDate': '2013-12-13', 'paymentDate': '2013-12-13', 'ratio': 17.001020061203672}, {'ticker': 'ADMP', 'exDate': '2009-04-22', 'paymentDate': '2009-04-22', 'ratio': 9.928514694201747}]"
249,LLNW,[]
250,KXIN,[]
251,CDEV,[]
252,SHIP,"[{'ticker': 'SHIP', 'exDate': '2020-06-30', 'paymentDate': '2020-06-30', 'declaredDate': '2020-06-30', 'ratio': 16, 'tofactor': 16, 'forfactor': 1}, {'ticker': 'SHIP', 'exDate': '2019-03-20', 'paymentDate': '2019-03-20', 'declaredDate': '2019-03-20', 'ratio': 15, 'tofactor': 15, 'forfactor': 1}, {'ticker': 'SHIP', 'exDate': '2016-01-08', 'paymentDate': '2016-01-08', 'declaredDate': '2016-01-08', 'ratio': 5, 'tofactor': 5, 'forfactor': 1}, {'ticker': 'SHIP', 'exDate': '2011-06-27', 'paymentDate': '2011-06-27', 'ratio': 14.999250037498127}]"
253,NXTD,"[{'ticker': 'NXTD', 'exDate': '2016-09-12', 'paymentDate': '2016-09-12', 'declaredDate': '2016-09-12', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}]"
254,NAT,[]
255,OGEN,"[{'ticker': 'OGEN', 'exDate': '2018-01-22', 'paymentDate': '2018-01-22', 'declaredDate': '2018-01-22', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}, {'ticker': 'OGEN', 'exDate': '2018-01-19', 'paymentDate': '2018-01-19', 'declaredDate': '2018-01-19', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}, {'ticker': 'OGEN', 'exDate': '2010-09-28', 'paymentDate': '2010-09-28', 'ratio': 20}]"
256,CHEK,[]
257,BORR,[]
258,EXPR,[]
259,PEI,[]
260,QEP,[]
261,ZSAN,"[{'ticker': 'ZSAN', 'exDate': '2018-01-26', 'paymentDate': '2018-01-26', 'declaredDate': '2018-01-26', 'ratio': 20, 'tofactor': 20, 'forfactor': 1}]"
262,MTNB,[]
263,DS,"[{'ticker': 'DS', 'exDate': '2013-05-15', 'paymentDate': '2013-05-15', 'ratio': 0.46882325363338}]"
264,WTRH,[]
265,RIGL,"[{'ticker': 'RIGL', 'exDate': '2003-06-25', 'paymentDate': '2003-06-25', 'ratio': 9.000090000900009}]"
266,AHT,"[{'ticker': 'AHT', 'exDate': '2020-07-16', 'paymentDate': '2020-07-16', 'declaredDate': '2020-07-16', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}, {'ticker': 'AHT', 'exDate': '2013-11-19', 'paymentDate': '2013-11-19', 'ratio': 0.671140939597315}]"
267,ADXS,"[{'ticker': 'ADXS', 'exDate': '2019-03-29', 'paymentDate': '2019-03-29', 'declaredDate': '2019-03-29', 'ratio': 15, 'tofactor': 15, 'forfactor': 1}, {'ticker': 'ADXS', 'exDate': '2013-07-15', 'paymentDate': '2013-07-15', 'ratio': 125}]"
268,COCP,"[{'ticker': 'COCP', 'exDate': '2018-01-24', 'paymentDate': '2018-01-24', 'declaredDate': '2018-01-24', 'ratio': 30, 'tofactor': 30, 'forfactor': 1}]"
269,XXII,[]
270,SAN,"[{'ticker': 'SAN', 'exDate': '2020-11-12', 'paymentDate': '2020-12-14', 'declaredDate': '2020-11-03', 'ratio': 0.9444475926030864, 'tofactor': 100, 'forfactor': 105.882}, {'ticker': 'SAN', 'exDate': '2012-01-10', 'paymentDate': '2012-01-10', 'ratio': 0.978723404255319}, {'ticker': 'SAN', 'exDate': '1999-06-21', 'paymentDate': '1999-06-21', 'ratio': 0.5}, {'ticker': 'SAN', 'exDate': '1998-08-17', 'paymentDate': '1998-08-17', 'ratio': 0.980392156862745}, {'ticker': 'SAN', 'exDate': '1998-07-06', 'paymentDate': '1998-07-06', 'ratio': 0.5}]"
271,AIKI,[]
272,NH,[]
273,TRCH,"[{'ticker': 'TRCH', 'exDate': '2010-12-15', 'paymentDate': '2010-12-15', 'ratio': 0.25}]"
274,SWN,"[{'ticker': 'SWN', 'exDate': '2008-03-26', 'paymentDate': '2008-03-26', 'ratio': 0.5}, {'ticker': 'SWN', 'exDate': '2005-11-18', 'paymentDate': '2005-11-18', 'ratio': 0.5}, {'ticker': 'SWN', 'exDate': '2005-06-06', 'paymentDate': '2005-06-06', 'ratio': 0.5}]"
275,CCO,[]
276,EVFM,[]
277,LMFA,"[{'ticker': 'LMFA', 'exDate': '2018-10-16', 'paymentDate': '2018-10-16', 'declaredDate': '2018-10-16', 'ratio': 10, 'tofactor': 10, 'forfactor': 1}]"
