symbol,sector,industry,trades,p_lvl,adv_lvl
TSLA,Consumer Cyclical,Auto Manufacturers,236923,4,2
AMZN,Consumer Cyclical,Internet Retail,197534,4,2
AAPL,Technology,Consumer Electronics,187511,3,2
DIS,Communication Services,Entertainment,68991,4,2
MSFT,Technology,SoftwareÑInfrastructure,68543,4,2
NIO,Consumer Cyclical,Auto Manufacturers,55895,2,2
ACB,Healthcare,Drug ManufacturersÑSpecialty & Generic,49986,1,2
DAL,Industrials,Airlines,48397,2,2
NFLX,Communication Services,Entertainment,42458,4,2
F,Consumer Cyclical,Auto Manufacturers,41012,1,2
AAL,Industrials,Airlines,40612,1,2
ZM,Communication Services,Telecom Services,39126,4,2
BA,Industrials,Aerospace & Defense,39089,4,2
SNDL,Healthcare,Drug ManufacturersÑSpecialty & Generic,35787,0,2
MRNA,Healthcare,Biotechnology,35690,4,2
PFE,Healthcare,Drug ManufacturersÑGeneral,35121,2,2
T,Communication Services,Telecom Services,34610,2,2
GOOGL,Communication Services,Internet Content & Information,32831,4,2
NVDA,Technology,Semiconductors,31972,4,2
AMD,Technology,Semiconductors,30978,3,2
BYND,Consumer Defensive,Packaged Foods,28352,4,2
NKLA,Consumer Cyclical,Auto Manufacturers,27989,2,2
CCL,Consumer Cyclical,Travel Services,27696,2,2
SBUX,Consumer Cyclical,Restaurants,27629,3,2
GE,Industrials,Specialty Industrial Machinery,27402,1,2
WMT,Consumer Defensive,Discount Stores,25949,3,2
BABA,Consumer Cyclical,Internet Retail,25492,4,2
SPCE,Industrials,Aerospace & Defense,25261,2,2
XOM,Energy,Oil & Gas Integrated,24922,2,2
FB,Communication Services,Internet Content & Information,24677,4,2
SQ,Technology,SoftwareÑInfrastructure,23695,4,2
SHOP,Technology,SoftwareÑApplication,23377,4,1
KO,Consumer Defensive,BeveragesÑNon-Alcoholic,22807,2,2
DKNG,Consumer Cyclical,Gambling,21753,3,2
COST,Consumer Defensive,Discount Stores,21387,4,2
LUV,Industrials,Airlines,20685,2,2
PLUG,Industrials,Electrical Equipment & Parts,19341,3,2
WKHS,Consumer Cyclical,Auto Manufacturers,18906,2,2
PLTR,Technology,SoftwareÑInfrastructure,18457,2,2
UBER,Technology,SoftwareÑApplication,17470,2,2
AMC,Communication Services,Entertainment,17420,1,2
JNJ,Healthcare,Drug ManufacturersÑGeneral,17278,4,2
FCEL,Industrials,Electrical Equipment & Parts,16410,2,2
GNUS,Communication Services,Entertainment,16382,0,2
INO,Healthcare,Biotechnology,16355,1,2
HEXO,Healthcare,Drug ManufacturersÑSpecialty & Generic,16285,1,2
NCLH,Consumer Cyclical,Travel Services,15912,2,2
PYPL,Financial Services,Credit Services,15394,4,2
BAC,Financial Services,BanksÑDiversified,15129,2,2
CGC,Healthcare,Drug ManufacturersÑSpecialty & Generic,14750,2,2
TGT,Consumer Defensive,Discount Stores,14265,4,2
BNGO,Healthcare,Diagnostics & Research,14130,1,2
V,Financial Services,Credit Services,13792,4,2
NKE,Consumer Cyclical,Footwear & Accessories,13767,3,2
WORK,Technology,SoftwareÑApplication,13587,2,2
MMM,Industrials,Specialty Industrial Machinery,13551,4,2
UAL,Industrials,Airlines,13456,2,2
JPM,Financial Services,BanksÑDiversified,13111,3,2
INTC,Technology,Semiconductors,12833,2,2
ROKU,Communication Services,Entertainment,12744,4,2
SOLO, , ,12435,1,2
ABBV,Healthcare,Drug ManufacturersÑGeneral,12047,3,2
SRNE,Healthcare,Biotechnology,11873,1,2
PINS,Communication Services,Internet Content & Information,11843,3,2
TLRY,Healthcare,Drug ManufacturersÑSpecialty & Generic,11791,2,2
TDOC,Healthcare,Health Information Services,11683,4,2
WFC,Financial Services,BanksÑDiversified,11482,2,2
SNAP,Communication Services,Internet Content & Information,11312,3,2
VZ,Communication Services,Telecom Services,11179,2,2
CRON,Healthcare,Drug ManufacturersÑSpecialty & Generic,11002,1,2
VXRT,Healthcare,Biotechnology,10543,1,2
APHA,Healthcare,Drug ManufacturersÑSpecialty & Generic,10525,1,2
NOK,Technology,Communication Equipment,10517,0,2
CRM,Technology,SoftwareÑApplication,10275,4,2
MVIS,Technology,Scientific & Technical Instruments,10245,1,2
PTON,Consumer Cyclical,Leisure,10145,3,2
TOPS,Industrials,Marine Shipping,10057,0,2
MCD,Consumer Cyclical,Restaurants,9845,4,2
BP,Energy,Oil & Gas Integrated,9426,2,2
RCL,Consumer Cyclical,Travel Services,9421,3,2
GM,Consumer Cyclical,Auto Manufacturers,9377,2,2
JBLU,Industrials,Airlines,9337,1,2
SPOT,Communication Services,Internet Content & Information,9337,4,1
ZNGA,Communication Services,Electronic Gaming & Multimedia,9328,1,2
IBM,Technology,Information Technology Services,9226,3,2
BLNK,Consumer Cyclical,Specialty Retail,9216,2,2
CHWY,Consumer Cyclical,Internet Retail,9183,3,2
SAVE,Industrials,Airlines,9112,2,2
QCOM,Technology,Semiconductors,9112,3,2
IBIO,Healthcare,Biotechnology,9103,0,2
ABNB,Communication Services,Internet Content & Information,9047,4,2
MARA,Financial Services,Capital Markets,9020,2,2
NVAX,Healthcare,Biotechnology,8983,4,2
KODK,Industrials,Specialty Business Services,8975,1,2
CRWD,Technology,SoftwareÑInfrastructure,8868,4,2
PENN,Consumer Cyclical,Resorts & Casinos,8841,3,2
MGM,Consumer Cyclical,Resorts & Casinos,8760,2,2
NNDM,Technology,Computer Hardware,8713,1,2
CSCO,Technology,Communication Equipment,8639,2,2
ZOM,Healthcare,Drug ManufacturersÑSpecialty & Generic,8635,0,2
RKT,Financial Services,Mortgage Finance,8521,2,2
JAGX,Healthcare,Biotechnology,8475,0,2
NRZ,Real Estate,REITÑMortgage,8393,1,2
LMND,Financial Services,InsuranceÑProperty & Casualty,8333,3,2
NAKD,Consumer Cyclical,Apparel Manufacturing,8319,0,2
OCGN,Healthcare,Biotechnology,8250,1,2
XPEV,Consumer Cyclical,Auto Manufacturers,8121,2,2
PG,Consumer Defensive,Household & Personal Products,8065,3,2
MA,Financial Services,Credit Services,8049,4,2
GEVO,Basic Materials,Specialty Chemicals,7964,1,2
UPS,Industrials,Integrated Freight & Logistics,7847,4,2
XSPA,Consumer Cyclical,Personal Services,7844,0,2
TMUS,Communication Services,Telecom Services,7836,3,2
LYFT,Technology,SoftwareÑApplication,7760,2,2
GILD,Healthcare,Drug ManufacturersÑGeneral,7694,3,2
HYLN,Consumer Cyclical,Auto Parts,7567,1,2
CVS,Healthcare,Healthcare Plans,7505,3,2
TTD,Technology,SoftwareÑApplication,7443,4,1
IDEX,Technology,SoftwareÑApplication,7361,1,2
FSLY,Technology,SoftwareÑApplication,7291,3,2
ADBE,Technology,SoftwareÑInfrastructure,7263,4,2
ENPH,Technology,Solar,7256,4,2
RIOT,Technology,SoftwareÑApplication,7213,2,2
TWTR,Communication Services,Internet Content & Information,7200,2,2
GOOG,Communication Services,Internet Content & Information,7081,4,2
CPE,Energy,Oil & Gas E&P,7055,1,2
JD,Consumer Cyclical,Internet Retail,6997,3,2
MRO,Energy,Oil & Gas E&P,6971,1,2
GME,Consumer Cyclical,Specialty Retail,6957,2,2
LULU,Consumer Cyclical,Apparel Retail,6694,4,2
JMIA,Consumer Cyclical,Internet Retail,6658,3,2
TWLO,Communication Services,Internet Content & Information,6621,4,2
M,Consumer Cyclical,Department Stores,6583,1,2
LI,Consumer Cyclical,Auto Manufacturers,6458,2,2
ATVI,Communication Services,Electronic Gaming & Multimedia,6456,3,2
WM,Industrials,Waste Management,6412,3,2
OXY,Energy,Oil & Gas E&P,6231,2,2
TNXP,Healthcare,Biotechnology,6151,0,2
IIPR,Real Estate,REITÑIndustrial,6135,4,1
NEE,Utilities,UtilitiesÑRegulated Electric,6062,3,2
SFIX,Consumer Cyclical,Specialty Retail,6053,3,2
CAT,Industrials,Farm & Heavy Construction Machinery,5968,4,2
TELL,Energy,Oil & Gas E&P,5966,0,2
LMT,Industrials,Aerospace & Defense,5928,4,2
AZN,Healthcare,Drug ManufacturersÑGeneral,5894,2,2
BB,Technology,SoftwareÑInfrastructure,5859,1,2
IVR,Real Estate,REITÑMortgage,5748,0,2
CODX,Healthcare,Diagnostics & Research,5726,1,2
C,Financial Services,BanksÑDiversified,5698,3,2
ET,Energy,Oil & Gas Midstream,5692,1,2
PLAY,Consumer Cyclical,Restaurants,5447,2,2
FSR,Consumer Cyclical,Auto Manufacturers,5431,1,2
CVNA,Consumer Cyclical,Internet Retail,5409,4,2
KR,Consumer Defensive,Grocery Stores,5374,2,2
OKTA,Technology,SoftwareÑInfrastructure,5356,4,2
SKT,Real Estate,REITÑRetail,5304,1,2
HTBX,Healthcare,Biotechnology,5278,1,2
UAVS,Industrials,Aerospace & Defense,5208,1,2
SDC,Healthcare,Medical Devices,5205,1,2
VBIV,Healthcare,Biotechnology,5173,0,2
NOVN,Healthcare,Biotechnology,5162,0,2
MO,Consumer Defensive,Tobacco,5129,2,2
OGI,Healthcare,Drug ManufacturersÑSpecialty & Generic,5082,0,2
RIG,Energy,Oil & Gas Drilling,5075,0,2
CMG,Consumer Cyclical,Restaurants,5061,4,0
MU,Technology,Semiconductors,5025,3,2
O,Real Estate,REITÑRetail,4944,3,2
UA,Consumer Cyclical,Apparel Manufacturing,4905,1,2
MFA,Real Estate,REITÑMortgage,4838,0,2
AYTU,Healthcare,Biotechnology,4735,1,1
NAK,Basic Materials,Other Industrial Metals & Mining,4657,0,2
GOLD,Basic Materials,Gold,4648,2,2
ACST,Healthcare,Biotechnology,4636,0,2
TSM,Technology,Semiconductors,4560,3,2
QS,Consumer Cyclical,Auto Parts,4526,2,2
LAC,Basic Materials,Other Industrial Metals & Mining,4523,2,2
SBE,Financial Services,Shell Companies,4440,2,2
BIOC,Healthcare,Diagnostics & Research,4434,1,1
SUNW,Technology,Solar,4310,2,2
WLL,Energy,Oil & Gas E&P,4287,2,1
BNTX,Healthcare,Biotechnology,4273,3,2
HAL,Energy,Oil & Gas Equipment & Services,4251,2,2
GRWG,Consumer Cyclical,Home Improvement Retail,4199,3,2
UNH,Healthcare,Healthcare Plans,4153,4,2
KOS,Energy,Oil & Gas E&P,4125,0,2
IRM,Real Estate,REITÑSpecialty,4108,2,2
IPOE,Financial Services,Shell Companies,4099,2,2
CNK,Communication Services,Entertainment,4091,1,2
BOXL,Technology,Communication Equipment,4085,0,2
CCIV,Financial Services,Shell Companies,4082,2,2
AYRO,Consumer Cyclical,Auto Manufacturers,4073,1,2
KNDI,Consumer Cyclical,Auto Parts,4060,1,2
DOCU,Technology,SoftwareÑApplication,3968,4,2
GRPN,Communication Services,Internet Content & Information,3857,2,1
WWR,Basic Materials,Other Industrial Metals & Mining,3856,1,2
KHC,Consumer Defensive,Packaged Foods,3848,2,2
LAZR,Technology,SoftwareÑApplication,3844,2,2
OPK,Healthcare,Diagnostics & Research,3807,1,2
EBAY,Consumer Cyclical,Internet Retail,3792,3,2
AUY,Basic Materials,Gold,3772,1,2
SNOW,Technology,SoftwareÑApplication,3767,4,2
CBAT,Industrials,Electrical Equipment & Parts,3717,1,2
OSTK,Consumer Cyclical,Internet Retail,3624,3,2
EA,Communication Services,Electronic Gaming & Multimedia,3624,3,2
TTOO,Healthcare,Diagnostics & Research,3622,0,2
FUBO,Communication Services,Broadcasting,3592,2,2
OPTT,Industrials,Electrical Equipment & Parts,3581,0,2
X,Basic Materials,Steel,3580,1,2
COTY,Consumer Defensive,Household & Personal Products,3571,1,2
CIDM,Communication Services,Entertainment,3566,0,2
INTU,Technology,SoftwareÑApplication,3534,4,1
SPWR,Technology,Solar,3402,2,2
NET,Technology,SoftwareÑInfrastructure,3389,3,2
SPG,Real Estate,REITÑRetail,3375,3,2
FUV,Consumer Cyclical,Recreational Vehicles,3330,2,2
DGLY,Industrials,Security & Protection Services,3322,0,2
AVGR,Healthcare,Medical Devices,3321,0,2
PCG,Utilities,UtilitiesÑRegulated Electric,3321,1,2
CMCSA,Communication Services,Entertainment,3295,2,2
ETSY,Consumer Cyclical,Internet Retail,3264,4,2
VFF,Consumer Defensive,Farm Products,3219,1,2
D,Utilities,UtilitiesÑDiversified,3205,3,2
DUK,Utilities,UtilitiesÑRegulated Electric,3166,3,2
FRSX,Consumer Cyclical,Auto Parts,3138,1,2
INSG,Technology,Communication Equipment,3133,1,2
RUN,Technology,Solar,3115,3,2
CLNE,Energy,Oil & Gas Refining & Marketing,3103,1,2
PRTY,Consumer Cyclical,Specialty Retail,3097,1,2
ERIC,Technology,Communication Equipment,3088,1,2
SNE,Technology,Consumer Electronics,3075,3,1
ALK,Industrials,Airlines,3059,2,2
BIDU,Communication Services,Internet Content & Information,3029,4,2
YETI,Consumer Cyclical,Leisure,3006,3,1
ABT,Healthcare,Medical Devices,3004,3,2
CZR,Consumer Cyclical,Resorts & Casinos,2997,3,2
ONTX,Healthcare,Biotechnology,2992,0,2
RIDE,Consumer Cyclical,Auto Manufacturers,2987,2,2
BE,Industrials,Electrical Equipment & Parts,2984,2,2
AMRN,Healthcare,Biotechnology,2974,1,2
CLSK,Technology,SoftwareÑApplication,2964,2,2
NGD,Basic Materials,Gold,2952,0,2
BTG,Basic Materials,Gold,2906,1,2
FVRR,Communication Services,Internet Content & Information,2903,4,1
TTWO,Communication Services,Electronic Gaming & Multimedia,2875,4,1
UONE,Communication Services,Broadcasting,2870,1,2
HD,Consumer Cyclical,Home Improvement Retail,2860,4,2
BBBY,Consumer Cyclical,Specialty Retail,2857,2,2
TEVA,Healthcare,Drug ManufacturersÑSpecialty & Generic,2841,1,2
CTRM,Industrials,Marine Shipping,2825,0,2
SWBI,Industrials,Aerospace & Defense,2803,1,2
DPW,Industrials,Electrical Equipment & Parts,2802,0,2
SIRI,Communication Services,Broadcasting,2796,1,2
TRVN,Healthcare,Biotechnology,2766,0,2
ORCL,Technology,SoftwareÑInfrastructure,2752,3,2
ABEV,Consumer Defensive,BeveragesÑBrewers,2688,0,2
INPX,Technology,SoftwareÑApplication,2681,0,2
NYMT,Real Estate,REITÑMortgage,2678,0,2
CVX,Energy,Oil & Gas Integrated,2644,3,2
STZ,Consumer Defensive,BeveragesÑWineries & Distilleries,2640,4,1
BUD,Consumer Defensive,BeveragesÑBrewers,2635,3,2
CRSR,Technology,Computer Hardware,2604,2,2
DASH,Communication Services,Internet Content & Information,2604,4,2
WBA,Healthcare,Pharmaceutical Retailers,2590,2,2
CRBP,Healthcare,Biotechnology,2586,0,2
GPS,Consumer Cyclical,Apparel Retail,2579,2,2
DDOG,Technology,SoftwareÑApplication,2563,3,2
APXT,Financial Services,Shell Companies,2553,1,2
APPS,Technology,SoftwareÑApplication,2533,3,2
APPN,Technology,SoftwareÑInfrastructure,2526,4,2
SENS,Healthcare,Diagnostics & Research,2499,0,2
WTI,Energy,Oil & Gas E&P,2494,0,2
MARK,Communication Services,Internet Content & Information,2490,0,2
TTNP,Healthcare,Biotechnology,2481,0,2
DVAX,Healthcare,Biotechnology,2462,1,2
CRSP,Healthcare,Biotechnology,2461,4,2
SPI,Technology,Solar,2451,1,2
KSS,Consumer Cyclical,Department Stores,2440,2,2
RTX,Industrials,Aerospace & Defense,2432,3,2
OIS,Energy,Oil & Gas Equipment & Services,2430,1,2
GSAT,Communication Services,Telecom Services,2427,0,2
CSPR,Consumer Cyclical,"Furnishings, Fixtures & Appliances",2409,1,1
NBR,Energy,Oil & Gas Drilling,2403,3,0
BIGC,Technology,SoftwareÑApplication,2349,3,2
TRXC,Healthcare,Medical Devices,2339,0,2
APT,Industrials,Building Products & Equipment,2334,1,2
CIIC,Financial Services,Shell Companies,2329,2,2
CUK,Consumer Cyclical,Leisure,2298,1,2
WPG,Real Estate,REITÑRetail,2294,1,1
FDX,Industrials,Integrated Freight & Logistics,2275,4,2
APRN,Consumer Cyclical,Internet Retail,2273,1,1
JWN,Consumer Cyclical,Department Stores,2266,2,2
AMCR,Consumer Cyclical,Packaging & Containers,2264,1,2
DDD,Technology,Computer Hardware,2248,2,2
MRVL,Technology,Semiconductors,2241,2,2
PLL,Basic Materials,Other Industrial Metals & Mining,2220,2,1
BEP,Utilities,UtilitiesÑRenewable,2205,2,1
EPD,Energy,Oil & Gas Midstream,2186,2,2
PK,Real Estate,REITÑHotel & Motel,2185,1,2
MAR,Consumer Cyclical,Lodging,2185,3,2
NTEC,Healthcare,Biotechnology,2180,1,2
U,Technology,SoftwareÑApplication,2157,3,2
BFT,Financial Services,Shell Companies,2142,1,2
AXP,Financial Services,Credit Services,2140,3,2
CRC,Energy,Oil & Gas E&P,2137,2,0
CAN,Technology,Computer Hardware,2121,1,2
KGC,Basic Materials,Gold,2118,1,2
SONN,Healthcare,Biotechnology,2109,0,1
CEI,Energy,Oil & Gas E&P,2097,0,2
VERU,Healthcare,Biotechnology,2091,1,2
DBX,Technology,SoftwareÑInfrastructure,2086,2,2
AGNC,Real Estate,REITÑMortgage,2083,1,2
AIM,Healthcare,Biotechnology,2061,0,1
UPWK,Industrials,Staffing & Employment Services,2060,2,2
JKS,Technology,Solar,2060,3,2
RAD,Healthcare,Pharmaceutical Retailers,2056,2,2
POLA,Industrials,Electrical Equipment & Parts,2051,1,2
SIX,Consumer Cyclical,Leisure,2050,2,1
XPO,Industrials,Integrated Freight & Logistics,2045,3,1
TWO,Real Estate,REITÑMortgage,2027,1,2
ADT,Industrials,Security & Protection Services,2013,1,2
HPR,Energy,Oil & Gas E&P,2006,1,2
BIOL,Healthcare,Medical Devices,2002,0,2
ADMP,Healthcare,Drug ManufacturersÑSpecialty & Generic,1984,0,2
OXLC,Financial Services,Asset Management,1963,1,2
CARA,Healthcare,Biotechnology,1962,1,1
AZO,Consumer Cyclical,Specialty Retail,1960,4,0
LLNW,Technology,SoftwareÑInfrastructure,1958,0,2
KXIN,Consumer Cyclical,Auto & Truck Dealerships,1949,0,2
AI,Technology,Information Technology Services,1948,4,2
SE,Communication Services,Electronic Gaming & Multimedia,1938,4,2
FTEK,Industrials,Pollution & Treatment Controls,1917,1,2
VUZI,Technology,Consumer Electronics,1915,1,2
CDEV,Energy,Oil & Gas E&P,1912,0,2
GLUU,Communication Services,Electronic Gaming & Multimedia,1909,1,2
GPRO,Technology,Consumer Electronics,1905,1,2
FTFT,Technology,SoftwareÑApplication,1900,1,2
SHIP,Industrials,Marine Shipping,1897,0,2
EVRI,Consumer Cyclical,Gambling,1883,1,2
LIN,Basic Materials,Specialty Chemicals,1883,4,2
NLY,Real Estate,REITÑMortgage,1881,1,2
BCRX,Healthcare,Biotechnology,1876,1,2
NVTA,Healthcare,Diagnostics & Research,1873,2,2
WYNN,Consumer Cyclical,Resorts & Casinos,1866,3,2
NXTD,Industrials,Security & Protection Services,1862,0,2
NAT,Industrials,Marine Shipping,1859,0,2
APA,Energy,Oil & Gas E&P,1857,1,2
GOGO,Communication Services,Telecom Services,1857,1,2
CHGG,Consumer Defensive,Education & Training Services,1857,3,2
OGEN,Healthcare,Biotechnology,1843,0,2
CHEK,Healthcare,Diagnostics & Research,1835,0,2
BORR,Energy,Oil & Gas Drilling,1832,0,2
LOW,Consumer Cyclical,Home Improvement Retail,1832,4,2
RRGB,Consumer Cyclical,Restaurants,1799,2,1
CHFS,Healthcare,Medical Devices,1797,1,0
VLDR,Technology,Scientific & Technical Instruments,1794,2,2
ALLY,Financial Services,Credit Services,1793,2,2
MAXR,Technology,Communication Equipment,1774,2,1
KIRK,Consumer Cyclical,Specialty Retail,1773,2,1
SELB,Healthcare,Biotechnology,1772,0,1
CLF,Basic Materials,Steel,1740,1,2
EXPR,Consumer Cyclical,Apparel Retail,1734,0,2
CHNR,Basic Materials,Other Industrial Metals & Mining,1734,0,1
IQ,Communication Services,Internet Content & Information,1728,2,2
PEI,Real Estate,REITÑRetail,1717,0,2
OPGN,Healthcare,Diagnostics & Research,1705,0,1
CLVS,Healthcare,Biotechnology,1702,1,2
QEP,Energy,Oil & Gas E&P,1701,0,2
DFS,Financial Services,Credit Services,1689,3,2
SM,Energy,Oil & Gas E&P,1683,1,2
ACI,Consumer Defensive,Grocery Stores,1678,1,2
SINT,Healthcare,Medical Devices,1672,0,1
LXRX,Healthcare,Biotechnology,1666,1,2
W,Consumer Cyclical,Internet Retail,1662,4,2
PBCT,Financial Services,BanksÑRegional,1655,1,2
BLDP,Industrials,Specialty Industrial Machinery,1646,2,2
VIAC,Communication Services,Entertainment,1646,2,2
BTBT,Technology,SoftwareÑApplication,1644,2,2
WMB,Energy,Oil & Gas Midstream,1633,2,2
WIMI,Communication Services,Advertising Agencies,1622,1,2
HOME,Consumer Cyclical,Specialty Retail,1619,2,2
ZSAN,Healthcare,Biotechnology,1614,0,2
AMRS,Basic Materials,Specialty Chemicals,1607,1,2
NBRV,Healthcare,Biotechnology,1589,0,1
OKE,Energy,Oil & Gas Midstream,1579,2,2
DVN,Energy,Oil & Gas E&P,1575,1,2
OTLK,Healthcare,Biotechnology,1562,0,1
GT,Consumer Cyclical,Auto Parts,1560,1,2
MTNB,Healthcare,Biotechnology,1546,0,2
DS,Consumer Cyclical,Leisure,1545,0,2
VVPR,Technology,Solar,1545,1,2
VTRS,Healthcare,Drug ManufacturersÑSpecialty & Generic,1539,1,2
FANG,Energy,Oil & Gas E&P,1539,3,2
YCBD,Healthcare,Drug ManufacturersÑSpecialty & Generic,1536,1,2
PSEC,Financial Services,Asset Management,1531,1,2
FET,Energy,Oil & Gas Equipment & Services,1524,1,0
POWW,Industrials,Aerospace & Defense,1519,1,2
CAPR,Healthcare,Biotechnology,1512,1,1
WTRH,Technology,SoftwareÑApplication,1509,0,2
AMWL,Healthcare,Health Information Services,1509,2,2
RIGL,Healthcare,Biotechnology,1507,0,2
GDRX,Healthcare,Health Information Services,1505,2,2
LUMN,Communication Services,Telecom Services,1502,1,2
AHT,Real Estate,REITÑHotel & Motel,1501,0,2
SGBX,Industrials,Metal Fabrication,1501,1,2
RWT,Real Estate,REITÑMortgage,1500,1,2
CSCW,Communication Services,Entertainment,1488,0,1
MESO,Healthcare,Biotechnology,1488,1,1
HA,Industrials,Airlines,1488,2,1
TLSA,Healthcare,Biotechnology,1476,0,1
AYX,Technology,SoftwareÑApplication,1468,3,1
TTI,Energy,Oil & Gas Equipment & Services,1467,0,1
ADXS,Healthcare,Biotechnology,1431,0,2
COCP,Healthcare,Biotechnology,1429,0,2
ALT,Healthcare,Biotechnology,1428,1,2
RDFN,Real Estate,Real Estate Services,1428,3,2
VIR,Healthcare,Biotechnology,1428,3,2
SONO,Technology,Consumer Electronics,1425,2,2
NNVC,Healthcare,Biotechnology,1424,1,1
WEN,Consumer Cyclical,Restaurants,1416,2,2
CLDR,Technology,SoftwareÑApplication,1413,1,2
MAIN,Financial Services,Asset Management,1410,2,0
UONEK,Communication Services,Broadcasting,1409,0,1
VRM,Consumer Cyclical,Auto & Truck Dealerships,1398,2,2
MBRX,Healthcare,Biotechnology,1396,0,1
XXII,Healthcare,Drug ManufacturersÑSpecialty & Generic,1393,0,2
TUP,Consumer Cyclical,Packaging & Containers,1389,2,1
AM,Energy,Oil & Gas Midstream,1388,1,2
SAN,Financial Services,BanksÑDiversified,1381,0,2
BMY,Healthcare,Drug ManufacturersÑGeneral,1377,3,2
AIKI,Healthcare,Biotechnology,1366,0,2
LEVI,Consumer Cyclical,Apparel Manufacturing,1358,1,2
BYFC,Financial Services,BanksÑRegional,1355,0,1
HPE,Technology,Communication Equipment,1350,1,2
MAC,Real Estate,REITÑRetail,1349,1,2
NH,Healthcare,Health Information Services,1346,0,2
UMC,Technology,Semiconductors,1346,1,2
TRCH,Energy,Oil & Gas E&P,1341,0,2
MITT,Real Estate,REITÑMortgage,1336,0,1
NCTY,Communication Services,Electronic Gaming & Multimedia,1331,2,2
KMI,Energy,Oil & Gas Midstream,1329,1,2
SABR,Technology,Information Technology Services,1323,1,2
ECOR,Healthcare,Medical Instruments & Supplies,1321,0,1
EBON,Technology,Computer Hardware,1311,1,2
PACB,Healthcare,Diagnostics & Research,1308,2,2
LGVW,Financial Services,Shell Companies,1306,2,2
SPR,Industrials,Aerospace & Defense,1300,2,2
NNOX,Healthcare,Medical Devices,1299,3,2
CAKE,Consumer Cyclical,Restaurants,1295,2,1
PRPL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1294,2,1
SWN,Energy,Oil & Gas E&P,1293,0,2
VCNX,Healthcare,Biotechnology,1291,0,1
GAN,Consumer Cyclical,Gambling,1291,2,1
NK,Healthcare,Biotechnology,1288,2,2
CCO,Communication Services,Advertising Agencies,1280,0,2
MGI,Financial Services,Credit Services,1278,1,2
TTCF,Consumer Defensive,Packaged Foods,1275,2,2
CLX,Consumer Defensive,Household & Personal Products,1270,4,2
CNTY,Consumer Cyclical,Resorts & Casinos,1268,1,1
PPSI,Industrials,Electrical Equipment & Parts,1265,1,2
FLGT,Healthcare,Diagnostics & Research,1263,4,2
EVFM,Healthcare,Biotechnology,1261,0,2
CWH,Consumer Cyclical,Recreational Vehicles,1261,2,1
LMFA,Financial Services,Credit Services,1259,0,2
TXMD,Healthcare,Drug ManufacturersÑSpecialty & Generic,1258,0,2
IMMP,Healthcare,Biotechnology,1257,0,2
OVID,Healthcare,Biotechnology,1257,0,1
OEG,Utilities,UtilitiesÑDiversified,1255,1,0
WISH,Consumer Cyclical,Internet Retail,1254,2,2
ACRX,Healthcare,Drug ManufacturersÑSpecialty & Generic,1247,0,2
GSK,Healthcare,Drug ManufacturersÑGeneral,1247,2,2
STOR,Real Estate,REITÑDiversified,1233,2,2
DOW,Basic Materials,Chemicals,1227,2,2
BKYI,Industrials,Security & Protection Services,1225,0,1
AG,Basic Materials,Silver,1225,1,2
RESN,Technology,Semiconductors,1224,1,2
ORC,Real Estate,REITÑMortgage,1222,1,2
UAA,Consumer Cyclical,Apparel Manufacturing,1220,2,2
SOL,Technology,Solar,1219,2,2
AQB,Consumer Defensive,Farm Products,1213,1,2
TGI,Industrials,Aerospace & Defense,1206,1,2
RXT,Technology,SoftwareÑInfrastructure,1205,2,1
BBY,Consumer Cyclical,Specialty Retail,1203,3,2
AKBA,Healthcare,Biotechnology,1190,1,2
ABUS,Healthcare,Biotechnology,1181,0,2
BLMN,Consumer Cyclical,Restaurants,1176,2,1
MDP,Communication Services,Publishing,1175,2,1
AZUL,Industrials,Airlines,1173,2,1
NMTR,Healthcare,Biotechnology,1172,0,2
BHAT,Communication Services,Electronic Gaming & Multimedia,1167,0,1
NETE,Technology,SoftwareÑInfrastructure,1164,1,2
XL,Consumer Cyclical,Auto Parts,1160,2,2
MUX,Basic Materials,Other Precious Metals & Mining,1155,0,2
RMBL,Consumer Cyclical,Auto & Truck Dealerships,1155,2,0
RC,Real Estate,REITÑMortgage,1154,1,1
GENE,Healthcare,Diagnostics & Research,1152,1,2
FRO,Energy,Oil & Gas Midstream,1151,1,2
LYV,Communication Services,Entertainment,1150,3,2
RWLK,Healthcare,Medical Devices,1146,0,1
SAVA,Healthcare,Biotechnology,1142,3,2
NLS,Consumer Cyclical,Leisure,1141,2,2
SEDG,Technology,Solar,1137,4,2
AHPI,Healthcare,Medical Devices,1136,1,1
AESE,Communication Services,Entertainment,1135,0,2
CEMI,Healthcare,Diagnostics & Research,1135,1,2
SWKS,Technology,Semiconductors,1129,4,2
AMAT,Technology,Semiconductor Equipment & Materials,1128,3,2
GAU,Basic Materials,Gold,1127,0,1
OXBR,Financial Services,InsuranceÑReinsurance,1123,0,2
SU,Energy,Oil & Gas Integrated,1120,1,2
AVCT,Technology,Information Technology Services,1117,1,0
CARS,Consumer Cyclical,Auto & Truck Dealerships,1116,1,1
CTIB,Consumer Cyclical,Specialty Retail,1115,0,1
VERI,Technology,SoftwareÑInfrastructure,1112,2,1
GHSI,Healthcare,Drug ManufacturersÑSpecialty & Generic,1109,0,2
KERN,Healthcare,Health Information Services,1108,1,2
CMRX,Healthcare,Biotechnology,1108,1,2
