,symbol,dividends
21,MFA,"[{'ticker': 'MFA', 'exDate': '2021-03-30', 'paymentDate': '2021-04-30', 'recordDate': '2021-03-31', 'amount': 0.075}, {'ticker': 'MFA', 'exDate': '2020-12-29', 'paymentDate': '2021-01-29', 'recordDate': '2020-12-30', 'amount': 0.075}, {'ticker': 'MFA', 'exDate': '2020-09-29', 'paymentDate': '2020-10-30', 'recordDate': '2020-09-30', 'amount': 0.05}, {'ticker': 'MFA', 'exDate': '2020-03-30', 'paymentDate': '2020-04-30', 'recordDate': '2020-03-31', 'amount': 0.2}, {'ticker': 'MFA', 'exDate': '2019-12-27', 'paymentDate': '2020-01-31', 'recordDate': '2019-12-30', 'amount': 0.2}, {'ticker': 'MFA', 'exDate': '2019-09-27', 'paymentDate': '2019-10-31', 'recordDate': '2019-09-30', 'amount': 0.2}, {'ticker': 'MFA', 'exDate': '2019-06-28', 'paymentDate': '2019-07-31', 'recordDate': '2019-07-01', 'amount': 0.2}, {'ticker': 'MFA', 'exDate': '2019-03-28', 'paymentDate': '2019-04-30', 'recordDate': '2019-03-29', 'amount': 0.2}, {'ticker': 'MFA', 'exDate': '2018-12-27', 'paymentDate': '2019-01-31', 'recordDate': '2018-12-28', 'declaredDate': '2018-12-12', 'amount': 0.2}, {'ticker': 'MFA', 'exDate': '2018-09-28', 'paymentDate': '2018-10-31', 'recordDate': '2018-10-01', 'declaredDate': '2018-09-13', 'amount': 0.2}, {'ticker': 'MFA', 'exDate': '2018-06-28', 'paymentDate': '2018-07-31', 'recordDate': '2018-06-29', 'declaredDate': '2018-06-07', 'amount': 0.2}, {'ticker': 'MFA', 'exDate': '2018-03-28', 'paymentDate': '2018-04-30', 'recordDate': '2018-03-29', 'declaredDate': '2018-03-07', 'amount': 0.2}, {'ticker': 'MFA', 'exDate': '2017-12-27', 'paymentDate': '2018-01-31', 'recordDate': '2017-12-28', 'declaredDate': '2017-12-13', 'amount': 0.2}, {'ticker': 'MFA', 'exDate': '2017-09-27', 'paymentDate': '2017-10-31', 'recordDate': '2017-09-28', 'declaredDate': '2017-09-14', 'amount': 0.2}, {'ticker': 'MFA', 'exDate': '2017-06-27', 'paymentDate': '2017-07-28', 'recordDate': '2017-06-29', 'declaredDate': '2017-08-25', 'amount': 0.2}, {'ticker': 'MFA', 'exDate': '2017-03-27', 'paymentDate': '2017-04-28', 'recordDate': '2017-03-29', 'declaredDate': '2017-05-16', 'amount': 0.2}, {'ticker': 'MFA', 'exDate': '2016-12-23', 'paymentDate': '2017-01-31', 'recordDate': '2016-12-28', 'declaredDate': '2016-12-15', 'amount': 0.2}, {'ticker': 'MFA', 'exDate': '2016-09-26', 'paymentDate': '2016-10-31', 'recordDate': '2016-09-28', 'declaredDate': '2016-11-03', 'amount': 0.2}, {'ticker': 'MFA', 'exDate': '2016-06-24', 'paymentDate': '2016-07-29', 'recordDate': '2016-06-28', 'declaredDate': '2016-06-15', 'amount': 0.2}, {'ticker': 'MFA', 'exDate': '2016-03-23', 'paymentDate': '2016-04-29', 'recordDate': '2016-03-28', 'declaredDate': '2016-03-11', 'amount': 0.2}, {'ticker': 'MFA', 'exDate': '2015-12-23', 'paymentDate': '2016-01-29', 'recordDate': '2015-12-28', 'declaredDate': '2015-12-09', 'amount': 0.2}, {'ticker': 'MFA', 'exDate': '2015-09-25', 'paymentDate': '2015-10-30', 'recordDate': '2015-09-29', 'declaredDate': '2015-09-17', 'amount': 0.2}, {'ticker': 'MFA', 'exDate': '2015-06-25', 'paymentDate': '2015-07-31', 'recordDate': '2015-06-29', 'declaredDate': '2015-06-15', 'amount': 0.2}, {'ticker': 'MFA', 'exDate': '2015-03-25', 'paymentDate': '2015-04-30', 'recordDate': '2015-03-27', 'declaredDate': '2015-03-13', 'amount': 0.2}, {'ticker': 'MFA', 'exDate': '2014-12-23', 'paymentDate': '2015-01-30', 'recordDate': '2014-12-26', 'declaredDate': '2014-12-09', 'amount': 0.2}, {'ticker': 'MFA', 'exDate': '2014-09-25', 'paymentDate': '2014-10-31', 'recordDate': '2014-09-29', 'declaredDate': '2014-09-17', 'amount': 0.2}, {'ticker': 'MFA', 'exDate': '2014-06-25', 'paymentDate': '2014-07-31', 'recordDate': '2014-06-27', 'declaredDate': '2014-06-13', 'amount': 0.2}, {'ticker': 'MFA', 'exDate': '2014-03-26', 'paymentDate': '2014-04-30', 'recordDate': '2014-03-28', 'declaredDate': '2014-03-10', 'amount': 0.2}, {'ticker': 'MFA', 'exDate': '2013-12-27', 'paymentDate': '2014-01-31', 'recordDate': '2013-12-31', 'declaredDate': '2013-12-11', 'amount': 0.2}, {'ticker': 'MFA', 'exDate': '2013-10-09', 'paymentDate': '2013-10-31', 'recordDate': '2013-10-11', 'declaredDate': '2013-09-26', 'amount': 0.22}, {'ticker': 'MFA', 'exDate': '2013-07-10', 'paymentDate': '2013-07-31', 'recordDate': '2013-07-12', 'declaredDate': '2013-06-28', 'amount': 0.22}]"
22,NAK,[]
23,ACST,[]
24,KOS,"[{'ticker': 'KOS', 'exDate': '2020-03-04', 'paymentDate': '2020-03-26', 'recordDate': '2020-03-05', 'amount': 0.045}, {'ticker': 'KOS', 'exDate': '2019-11-29', 'paymentDate': '2019-12-23', 'recordDate': '2019-12-02', 'amount': 0.045}, {'ticker': 'KOS', 'exDate': '2019-09-04', 'paymentDate': '2019-09-26', 'recordDate': '2019-09-05', 'amount': 0.045}, {'ticker': 'KOS', 'exDate': '2019-06-05', 'paymentDate': '2019-06-27', 'recordDate': '2019-06-06', 'amount': 0.045}, {'ticker': 'KOS', 'exDate': '2019-03-06', 'paymentDate': '2019-03-28', 'recordDate': '2019-03-07', 'amount': 0.045}]"
25,BOXL,[]
26,TTOO,[]
27,OPTT,[]
28,CIDM,[]
29,DGLY,[]
30,AVGR,[]
